Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Wind Chill,Weather
2012-01-03 00:00:00,-9.0,-16.0,57,29.0,28,25.0,100.35,-18.0,Snow Showers
2012-01-03 01:00:00,-9.7,-17.2,54,30.0,20,25.0,100.43,-17.0,Cloudy
2012-01-03 02:00:00,-10.5,-15.8,65,29.0,22,12.9,100.53,-19.0,Snow Showers
2012-01-03 03:00:00,-11.3,-18.7,54,30.0,33,25.0,100.61,-22.0,Snow Showers
2012-01-03 04:00:00,-12.6,-20.1,53,31.0,24,25.0,100.68,-22.0,Cloudy
2012-01-03 05:00:00,-12.9,-19.1,60,31.0,22,25.0,100.76,-22.0,Snow Showers
2012-01-03 06:00:00,-13.3,-19.3,61,31.0,19,25.0,100.85,-22.0,Snow Showers
2012-01-03 07:00:00,-14.0,-19.5,63,30.0,19,25.0,100.95,-23.0,Snow
2012-01-03 08:00:00,-14.8,-21.3,58,30.0,26,24.1,101.07,-25.0,Mostly Cloudy
2012-01-03 09:00:00,-15.0,-21.9,56,31.0,19,24.1,101.2,-24.0,Mostly Cloudy
2012-01-03 10:00:00,-15.3,-22.2,56,29.0,24,24.1,101.29,-25.0,Cloudy
2012-01-03 11:00:00,-14.9,-22.2,54,30.0,22,24.1,101.33,-24.0,Mostly Cloudy
2012-01-03 12:00:00,-14.9,-22.6,52,27.0,20,24.1,101.34,-24.0,Mainly Clear
2012-01-03 13:00:00,-15.1,-22.4,54,29.0,22,24.1,101.34,-25.0,Mainly Clear
2012-01-03 14:00:00,-14.9,-22.9,50,29.0,22,24.1,101.38,-24.0,Mainly Clear
2012-01-03 15:00:00,-14.8,-22.2,53,28.0,19,24.1,101.44,-24.0,Mainly Clear
2012-01-03 16:00:00,-15.3,-22.9,52,28.0,22,24.1,101.51,-25.0,Mainly Clear
2012-01-03 17:00:00,-15.8,-23.2,53,29.0,22,24.1,101.58,-26.0,Mainly Clear
2012-01-03 18:00:00,-16.3,-23.8,52,30.0,24,25.0,101.64,-27.0,Mainly Clear
2012-01-03 19:00:00,-16.9,-24.8,50,29.0,24,25.0,101.74,-27.0,Clear
2012-01-03 20:00:00,-17.3,-25.4,49,29.0,24,25.0,101.82,-28.0,Mainly Clear
2012-01-03 21:00:00,-17.0,-24.6,52,28.0,15,25.0,101.86,-25.0,Mostly Cloudy
2012-01-03 22:00:00,-17.1,-24.6,52,30.0,20,25.0,101.86,-27.0,Mostly Cloudy
2012-01-03 23:00:00,-17.3,-24.2,55,30.0,17,25.0,101.87,-26.0,Mostly Cloudy
2012-01-04 00:00:00,-17.5,-24.2,56,28.0,13,25.0,101.88,-25.0,Mostly Cloudy
2012-01-04 01:00:00,-17.9,-24.1,58,29.0,11,25.0,101.86,-25.0,Mainly Clear
2012-01-04 02:00:00,-18.1,-23.8,61,28.0,15,25.0,101.89,-27.0,Mainly Clear
2012-01-04 03:00:00,-18.5,-24.6,59,29.0,13,25.0,101.88,-27.0,Mainly Clear
2012-01-04 04:00:00,-18.5,-24.6,59,29.0,13,25.0,101.82,-27.0,Mainly Clear
2012-01-04 05:00:00,-18.6,-24.0,62,26.0,9,25.0,101.77,-25.0,Mainly Clear
2012-01-04 06:00:00,-18.5,-24.1,61,26.0,11,25.0,101.74,-26.0,Cloudy
2012-01-04 07:00:00,-18.2,-24.1,60,26.0,11,25.0,101.75,-25.0,Cloudy
2012-01-04 08:00:00,-17.8,-24.2,57,27.0,17,24.1,101.73,-27.0,Mostly Cloudy
2012-01-04 09:00:00,-16.8,-22.5,61,26.0,9,24.1,101.68,-23.0,Mostly Cloudy
2012-01-04 10:00:00,-15.2,-20.6,63,25.0,7,24.1,101.54,-20.0,Mostly Cloudy
2012-01-04 11:00:00,-14.2,-21.1,56,18.0,13,24.1,101.41,-21.0,Mostly Cloudy
2012-01-04 12:00:00,-13.7,-21.7,51,18.0,11,24.1,101.25,-20.0,Snow
2012-01-04 13:00:00,-12.4,-20.1,53,16.0,11,24.1,101.07,-18.0,Cloudy
2012-01-04 14:00:00,-11.3,-19.0,53,13.0,7,19.3,100.97,-16.0,Snow
2012-01-04 15:00:00,-10.2,-16.3,61,13.0,11,9.7,100.89,-16.0,Snow
2012-01-04 16:00:00,-9.4,-15.5,61,13.0,13,19.3,100.79,-15.0,Snow
2012-01-04 17:00:00,-8.9,-13.2,71,16.0,9,4.8,100.76,-14.0,Snow
2012-01-04 18:00:00,-8.9,-12.6,75,14.0,11,9.7,100.69,-14.0,Snow
2012-01-04 19:00:00,-8.4,-12.7,71,17.0,9,16.1,100.65,-13.0,Snow
2012-01-04 20:00:00,-7.8,-12.1,71,17.0,9,16.1,100.61,-12.0,Snow
2012-01-04 21:00:00,-7.6,-11.6,73,16.0,7,11.3,100.54,-11.0,Snow
2012-01-04 22:00:00,-9.5,-12.7,77,34.0,6,9.7,100.5,-13.0,Snow
2012-01-04 23:00:00,-9.6,-12.6,79,3.0,6,9.7,100.42,-13.0,Snow
2012-01-05 00:00:00,-8.8,-11.7,79,35.0,4,9.7,100.32,-11.0,Snow
2012-01-05 01:00:00,-7.5,-10.2,81,,0,9.7,100.29,,Snow
2012-01-05 02:00:00,-5.4,-8.3,80,19.0,9,8.0,100.28,-9.0,Snow
2012-01-05 03:00:00,-5.0,-7.7,81,20.0,11,9.7,100.24,-10.0,Snow
2012-01-05 04:00:00,-4.1,-6.5,83,24.0,9,4.8,100.21,-8.0,Snow
2012-01-05 05:00:00,-7.0,-9.5,82,35.0,4,4.0,100.19,-9.0,Snow
2012-01-05 06:00:00,-8.2,-10.7,82,32.0,6,6.4,100.26,-11.0,Snow
2012-01-05 07:00:00,-7.1,-9.7,82,31.0,9,9.7,100.31,-11.0,Snow
2012-01-05 08:00:00,-6.1,-9.1,79,29.0,11,9.7,100.39,-11.0,Snow
2012-01-05 09:00:00,-6.6,-10.1,76,27.0,9,24.1,100.42,-11.0,Mainly Clear
2012-01-05 10:00:00,-6.0,-10.0,73,27.0,17,48.3,100.45,-12.0,Mainly Clear
2012-01-05 11:00:00,-5.6,-10.2,70,26.0,22,48.3,100.41,-13.0,Mainly Clear
2012-01-05 12:00:00,-4.7,-9.6,69,27.0,20,48.3,100.38,-11.0,Mainly Clear
2012-01-05 13:00:00,-4.4,-9.7,66,27.0,26,48.3,100.4,-12.0,Mainly Clear
2012-01-05 14:00:00,-5.1,-10.7,65,29.0,22,48.3,100.46,-12.0,Mainly Clear
2012-01-05 15:00:00,-4.3,-12.0,55,30.0,26,48.3,100.52,-12.0,Mainly Clear
2012-01-05 16:00:00,-5.0,-12.7,55,29.0,19,24.1,100.6,-11.0,Mainly Clear
2012-01-05 17:00:00,-6.7,-14.1,56,28.0,11,25.0,100.65,-12.0,Mainly Clear
2012-01-05 18:00:00,-7.1,-14.4,56,27.0,11,25.0,100.71,-12.0,Clear
2012-01-05 19:00:00,-9.2,-15.4,61,31.0,7,25.0,100.8,-13.0,Clear
2012-01-05 20:00:00,-9.8,-15.7,62,32.0,9,25.0,100.83,-15.0,Clear
2012-01-05 21:00:00,-9.0,-14.8,63,4.0,13,25.0,100.83,-15.0,Clear
2012-01-05 22:00:00,-9.9,-15.7,63,5.0,7,25.0,100.85,-14.0,Cloudy
2012-01-05 23:00:00,-9.4,-15.5,61,4.0,9,25.0,100.83,-14.0,Cloudy
2012-01-06 00:00:00,-9.6,-16.8,56,7.0,13,25.0,100.81,-16.0,Cloudy
2012-01-06 01:00:00,-10.0,-17.3,55,6.0,17,25.0,100.81,-17.0,Cloudy
2012-01-06 02:00:00,-10.5,-16.5,61,9.0,9,25.0,100.84,-15.0,Cloudy
2012-01-06 03:00:00,-10.6,-16.0,64,,0,9.7,100.76,,Snow
2012-01-06 04:00:00,-11.3,-16.1,68,5.0,15,3.2,100.7,-18.0,Snow
2012-01-06 05:00:00,-11.8,-16.0,71,6.0,19,2.8,100.61,-20.0,Snow
2012-01-06 06:00:00,-12.0,-16.2,71,5.0,22,4.8,100.58,-21.0,Snow
2012-01-06 07:00:00,-14.4,-16.3,85,5.0,22,2.4,100.52,-24.0,Snow
2012-01-06 08:00:00,-12.3,-16.2,73,4.0,24,11.3,100.51,-22.0,Snow
2012-01-06 09:00:00,-12.5,-16.7,71,4.0,26,19.3,100.53,-22.0,Snow
2012-01-06 10:00:00,-12.3,-16.3,72,4.0,28,16.1,100.47,-22.0,Snow
2012-01-06 11:00:00,-12.0,-16.0,72,5.0,17,24.1,100.36,-20.0,Snow
2012-01-06 12:00:00,-11.7,-15.4,74,4.0,28,19.3,100.23,-21.0,Snow
2012-01-06 13:00:00,-11.9,-15.6,74,4.0,20,24.1,100.13,-20.0,Snow
2012-01-06 14:00:00,-11.2,-14.8,75,4.0,19,19.3,100.07,-19.0,Snow
2012-01-06 15:00:00,-11.5,-14.4,79,2.0,19,12.9,100.06,-20.0,Snow
2012-01-06 16:00:00,-11.6,-14.7,78,2.0,19,19.3,100.1,-20.0,Snow
2012-01-06 17:00:00,-11.2,-14.3,78,2.0,17,25.0,100.15,-19.0,Snow
2012-01-06 18:00:00,-10.5,-13.6,78,2.0,17,19.3,100.12,-18.0,Cloudy
2012-01-06 19:00:00,-10.5,-13.4,79,1.0,15,25.0,100.13,-17.0,Cloudy
2012-01-06 20:00:00,-10.2,-13.0,80,4.0,11,25.0,100.15,-16.0,Cloudy
2012-01-06 21:00:00,-9.5,-12.5,79,3.0,9,25.0,100.13,-14.0,Cloudy
2012-01-06 22:00:00,-9.3,-12.2,79,2.0,11,19.3,100.16,-15.0,Cloudy
2012-01-06 23:00:00,-9.0,-12.0,79,4.0,7,16.1,100.15,-13.0,Cloudy
2012-01-07 00:00:00,-8.7,-11.7,79,35.0,6,16.1,100.13,-12.0,Cloudy
2012-01-07 01:00:00,-8.5,-11.4,80,,0,19.3,100.11,,Cloudy
2012-01-07 02:00:00,-8.1,-11.1,79,34.0,4,19.3,100.15,-10.0,Cloudy
2012-01-07 03:00:00,-7.8,-10.8,79,4.0,4,19.3,100.12,-10.0,Cloudy
2012-01-07 04:00:00,-7.5,-10.5,79,2.0,6,19.3,100.1,-11.0,Cloudy
2012-01-07 05:00:00,-6.9,-9.7,80,36.0,4,19.3,100.12,-9.0,Cloudy
2012-01-07 06:00:00,-6.7,-9.5,80,2.0,7,16.1,100.12,-10.0,Cloudy
2012-01-07 07:00:00,-7.0,-9.7,81,36.0,7,16.1,100.16,-11.0,Cloudy
2012-01-07 08:00:00,-6.4,-9.0,82,2.0,9,8.0,100.1,-11.0,"Freezing Drizzle,Fog"
2012-01-07 09:00:00,-6.1,-8.7,82,3.0,7,9.7,100.15,-9.0,"Freezing Rain,Fog"
2012-01-07 10:00:00,-5.7,-8.0,84,3.0,7,8.0,100.13,-9.0,Freezing Rain
2012-01-07 11:00:00,-5.4,-7.7,84,4.0,9,9.7,100.08,-9.0,Freezing Drizzle
2012-01-07 12:00:00,-5.5,-7.8,84,2.0,13,9.7,100.05,-11.0,Freezing Drizzle
2012-01-07 13:00:00,-4.8,-7.2,83,35.0,15,9.7,100.07,-10.0,Freezing Rain
2012-01-07 14:00:00,-4.4,-6.9,83,1.0,6,8.0,100.09,-7.0,Snow
2012-01-07 15:00:00,-3.7,-6.1,83,17.0,11,8.0,100.09,-8.0,Snow
2012-01-07 16:00:00,-3.6,-5.9,84,,0,8.0,100.15,,Snow
2012-01-07 17:00:00,-3.1,-5.4,84,22.0,13,8.0,100.27,-8.0,Snow
2012-01-07 18:00:00,-3.2,-5.3,85,32.0,6,9.7,100.33,-6.0,Snow
2012-01-07 19:00:00,-3.0,-5.0,86,27.0,6,8.0,100.41,-5.0,Snow
2012-01-07 20:00:00,-1.8,-3.7,87,24.0,4,9.7,100.48,-3.0,Snow
2012-01-07 21:00:00,-1.3,-3.1,88,,0,6.4,100.5,,Snow
2012-01-07 22:00:00,-1.5,-3.0,89,26.0,4,4.0,100.54,-3.0,Fog
2012-01-07 23:00:00,0.4,-1.5,87,27.0,22,9.7,100.62,,Snow
2012-01-08 00:00:00,0.6,-3.2,76,26.0,32,25.0,100.72,,Cloudy
2012-01-08 01:00:00,-0.6,-4.6,74,27.0,32,25.0,100.8,-7.0,Mostly Cloudy
2012-01-08 02:00:00,-1.7,-6.2,71,27.0,30,25.0,100.98,-9.0,Mostly Cloudy
2012-01-08 03:00:00,-3.5,-8.3,69,27.0,32,25.0,101.13,-11.0,Mainly Clear
2012-01-08 04:00:00,-4.4,-9.2,69,31.0,22,25.0,101.21,-11.0,Mainly Clear
2012-01-08 05:00:00,-5.9,-10.5,70,29.0,13,25.0,101.33,-11.0,Mainly Clear
2012-01-08 06:00:00,-5.8,-10.8,68,28.0,13,25.0,101.47,-11.0,Cloudy
2012-01-08 07:00:00,-5.6,-10.3,69,28.0,11,25.0,101.59,-10.0,Cloudy
2012-01-08 08:00:00,-5.9,-10.7,69,28.0,11,24.1,101.7,-11.0,Snow
2012-01-08 09:00:00,-6.4,-11.9,65,30.0,17,24.1,101.81,-13.0,Snow
2012-01-08 10:00:00,-6.5,-11.6,67,29.0,17,9.7,101.89,-13.0,Snow
2012-01-08 11:00:00,-7.1,-12.6,65,30.0,22,24.1,101.92,-15.0,Snow
2012-01-08 12:00:00,-6.7,-11.9,66,31.0,15,24.1,101.9,-13.0,Snow
2012-01-08 13:00:00,-6.5,-12.4,63,30.0,15,24.1,101.94,-12.0,Cloudy
2012-01-08 14:00:00,-6.5,-12.0,65,26.0,19,24.1,101.97,-13.0,Mostly Cloudy
2012-01-08 15:00:00,-6.6,-12.9,61,26.0,20,48.3,102.04,-14.0,Mostly Cloudy
2012-01-08 16:00:00,-6.6,-13.3,59,26.0,20,24.1,102.09,-14.0,Mostly Cloudy
2012-01-08 17:00:00,-7.2,-13.8,59,25.0,17,25.0,102.17,-14.0,Mainly Clear
2012-01-08 18:00:00,-8.1,-14.1,62,26.0,17,25.0,102.23,-15.0,Mainly Clear
2012-01-08 19:00:00,-8.0,-13.9,62,24.0,15,25.0,102.26,-14.0,Mostly Cloudy
2012-01-08 20:00:00,-8.3,-13.7,65,26.0,15,25.0,102.28,-15.0,Mostly Cloudy
2012-01-08 21:00:00,-8.3,-13.9,64,25.0,11,25.0,102.26,-14.0,Mostly Cloudy
2012-01-08 22:00:00,-8.7,-14.0,65,24.0,7,25.0,102.22,-13.0,Mostly Cloudy
2012-01-08 23:00:00,-9.0,-13.9,68,26.0,7,25.0,102.22,-13.0,Mostly Cloudy
2012-01-09 00:00:00,-9.2,-14.3,66,26.0,6,25.0,102.17,-13.0,Mostly Cloudy
2012-01-09 01:00:00,-9.8,-14.5,68,,0,25.0,102.13,,Mostly Cloudy
2012-01-09 02:00:00,-9.0,-14.1,66,23.0,4,25.0,102.15,-11.0,Mostly Cloudy
2012-01-09 03:00:00,-8.8,-13.2,70,,0,25.0,102.11,,Cloudy
2012-01-09 04:00:00,-8.5,-13.2,69,16.0,9,25.0,102.02,-13.0,Cloudy
2012-01-09 05:00:00,-8.4,-12.7,71,15.0,11,25.0,101.93,-14.0,Cloudy
2012-01-09 06:00:00,-7.7,-11.9,72,14.0,11,25.0,101.86,-13.0,Cloudy
2012-01-09 07:00:00,-6.8,-11.0,72,14.0,15,25.0,101.8,-13.0,Mostly Cloudy
2012-01-09 08:00:00,-5.9,-10.5,70,15.0,13,16.1,101.74,-11.0,Snow
2012-01-09 09:00:00,-5.4,-9.2,75,16.0,11,12.9,101.68,-10.0,Snow
2012-01-09 10:00:00,-4.8,-8.3,76,16.0,9,16.1,101.64,-9.0,Snow
2012-01-09 11:00:00,-3.7,-7.2,77,17.0,7,24.1,101.54,-7.0,Snow
2012-01-09 12:00:00,-2.5,-6.6,73,18.0,9,24.1,101.4,-6.0,Cloudy
2012-01-09 13:00:00,-1.7,-5.8,74,18.0,7,24.1,101.27,-4.0,Cloudy
2012-01-09 14:00:00,-1.4,-5.1,76,15.0,7,24.1,101.2,-4.0,Cloudy
2012-01-09 15:00:00,-1.0,-5.1,74,14.0,9,24.1,101.13,-4.0,Mostly Cloudy
2012-01-09 16:00:00,-1.3,-5.7,72,13.0,11,24.1,101.05,-5.0,Mostly Cloudy
2012-01-09 17:00:00,-1.4,-5.8,72,15.0,15,24.1,100.96,-6.0,Mostly Cloudy
2012-01-09 18:00:00,-1.0,-5.6,71,15.0,20,25.0,100.9,-7.0,Mostly Cloudy
2012-01-09 19:00:00,-1.1,-5.8,70,16.0,19,25.0,100.83,-6.0,Mostly Cloudy
2012-01-09 20:00:00,-1.5,-6.2,70,15.0,15,25.0,100.77,-6.0,Mostly Cloudy
2012-01-09 21:00:00,-1.7,-6.3,71,15.0,11,25.0,100.64,-6.0,Mostly Cloudy
2012-01-09 22:00:00,-0.3,-6.3,64,16.0,19,25.0,100.54,-5.0,Mostly Cloudy
2012-01-09 23:00:00,-0.2,-6.1,64,16.0,17,25.0,100.45,-5.0,Cloudy
2012-01-10 00:00:00,2.5,-5.2,57,23.0,30,25.0,100.38,,Cloudy
2012-01-10 01:00:00,2.3,-3.4,66,23.0,35,25.0,100.28,,Snow
2012-01-10 02:00:00,1.4,-2.5,75,22.0,19,6.4,100.23,,Snow
2012-01-10 03:00:00,1.6,-2.0,77,22.0,28,25.0,100.16,,Snow
2012-01-10 04:00:00,1.2,-1.7,81,23.0,26,25.0,100.07,,Cloudy
2012-01-10 05:00:00,0.8,-1.2,86,23.0,30,9.7,100.02,,"Rain,Snow"
2012-01-10 06:00:00,0.7,-1.2,87,23.0,30,8.0,100.04,,Snow
2012-01-10 07:00:00,1.5,-0.7,85,24.0,20,8.0,100.08,,Snow
2012-01-10 08:00:00,1.2,-1.1,85,24.0,24,16.1,100.11,,Cloudy
2012-01-10 09:00:00,1.6,-0.8,84,26.0,17,19.3,100.23,,Cloudy
2012-01-10 10:00:00,2.0,-0.9,81,27.0,24,24.1,100.27,,Mostly Cloudy
2012-01-10 11:00:00,2.6,-1.1,77,27.0,22,24.1,100.29,,Mainly Clear
2012-01-10 12:00:00,1.4,-3.1,72,30.0,30,24.1,100.32,,Mostly Cloudy
2012-01-10 13:00:00,0.7,-5.4,64,30.0,26,24.1,100.36,,Mostly Cloudy
2012-01-10 14:00:00,-0.2,-6.2,64,30.0,26,24.1,100.45,-6.0,Mainly Clear
2012-01-10 15:00:00,-1.4,-7.9,61,31.0,30,24.1,100.65,-8.0,Mainly Clear
2012-01-10 16:00:00,-3.1,-10.9,55,31.0,30,24.1,100.81,-11.0,Mostly Cloudy
2012-01-10 17:00:00,-4.0,-12.0,54,30.0,17,24.1,100.91,-10.0,Mostly Cloudy
2012-01-10 18:00:00,-4.9,-12.7,54,32.0,15,25.0,101.04,-10.0,Mostly Cloudy
2012-01-10 19:00:00,-5.7,-13.8,53,33.0,15,25.0,101.15,-11.0,Mostly Cloudy
2012-01-10 20:00:00,-6.4,-14.3,53,30.0,13,25.0,101.24,-12.0,Mostly Cloudy
2012-01-10 21:00:00,-6.6,-13.6,57,31.0,9,25.0,101.32,-11.0,Mostly Cloudy
2012-01-10 22:00:00,-7.3,-14.7,55,3.0,13,25.0,101.34,-13.0,Mostly Cloudy
2012-01-10 23:00:00,-8.6,-15.6,57,3.0,19,25.0,101.44,-16.0,Mostly Cloudy
2012-01-11 00:00:00,-9.5,-16.8,55,3.0,17,25.0,101.43,-17.0,Mostly Cloudy
2012-01-11 01:00:00,-10.7,-17.8,56,3.0,17,25.0,101.49,-18.0,Clear
2012-01-11 02:00:00,-12.0,-18.9,56,7.0,19,25.0,101.57,-20.0,Clear
2012-01-11 03:00:00,-12.7,-19.4,57,7.0,19,25.0,101.64,-21.0,Clear
2012-01-11 04:00:00,-13.4,-20.1,57,7.0,17,25.0,101.66,-21.0,Clear
2012-01-11 05:00:00,-13.9,-21.0,55,6.0,19,25.0,101.66,-23.0,Mainly Clear
2012-01-11 06:00:00,-14.4,-21.1,57,5.0,20,25.0,101.72,-23.0,Mainly Clear
2012-01-11 07:00:00,-14.4,-21.0,57,4.0,13,25.0,101.77,-22.0,Mostly Cloudy
2012-01-11 08:00:00,-14.7,-21.4,57,6.0,15,24.1,101.8,-23.0,Mostly Cloudy
2012-01-11 09:00:00,-14.3,-20.8,58,4.0,15,24.1,101.81,-22.0,Mostly Cloudy
2012-01-11 10:00:00,-13.9,-20.9,55,5.0,11,19.3,101.89,-20.0,Cloudy
2012-01-11 11:00:00,-13.4,-20.8,54,4.0,15,24.1,101.78,-21.0,Mostly Cloudy
2012-01-11 12:00:00,-12.7,-20.4,53,6.0,17,24.1,101.68,-21.0,Cloudy
2012-01-11 13:00:00,-12.2,-20.0,52,6.0,19,24.1,101.63,-20.0,Mostly Cloudy
2012-01-11 14:00:00,-11.4,-19.4,52,5.0,20,24.1,101.56,-20.0,Mostly Cloudy
2012-01-11 15:00:00,-11.6,-19.9,50,4.0,20,24.1,101.61,-20.0,Mostly Cloudy
2012-01-11 16:00:00,-11.8,-20.9,47,5.0,20,24.1,101.6,-20.0,Mostly Cloudy
2012-01-11 17:00:00,-11.9,-20.1,51,5.0,26,24.1,101.56,-21.0,Mostly Cloudy
2012-01-11 18:00:00,-12.0,-19.9,52,4.0,24,25.0,101.51,-21.0,Mostly Cloudy
2012-01-11 19:00:00,-11.8,-19.2,54,5.0,30,25.0,101.43,-22.0,Mostly Cloudy
2012-01-11 20:00:00,-11.2,-18.1,57,5.0,24,25.0,101.4,-20.0,Cloudy
2012-01-11 21:00:00,-11.2,-16.5,65,3.0,19,25.0,101.32,-19.0,Cloudy
2012-01-11 22:00:00,-10.8,-16.0,65,3.0,22,25.0,101.29,-19.0,Cloudy
2012-01-11 23:00:00,-10.7,-15.7,67,4.0,20,25.0,101.19,-19.0,Mostly Cloudy
2012-01-12 00:00:00,-10.0,-15.2,66,4.0,19,25.0,101.17,-18.0,Mostly Cloudy
2012-01-12 01:00:00,-9.8,-15.2,65,5.0,24,25.0,101.13,-18.0,Mostly Cloudy
2012-01-12 02:00:00,-9.4,-15.0,64,5.0,26,25.0,101.08,-18.0,Cloudy
2012-01-12 03:00:00,-9.0,-14.7,63,4.0,33,25.0,101.02,-19.0,Cloudy
2012-01-12 04:00:00,-8.5,-14.1,64,3.0,22,25.0,100.93,-16.0,Cloudy
2012-01-12 05:00:00,-8.0,-13.7,64,5.0,30,25.0,100.81,-17.0,Cloudy
2012-01-12 06:00:00,-7.6,-13.1,65,4.0,28,25.0,100.76,-16.0,Cloudy
2012-01-12 07:00:00,-7.3,-12.7,65,4.0,28,16.1,100.69,-16.0,Snow Showers
2012-01-12 08:00:00,-7.1,-11.3,72,4.0,33,6.4,100.61,-16.0,Snow
2012-01-12 09:00:00,-6.8,-10.5,75,5.0,33,3.2,100.54,-16.0,Snow
2012-01-12 10:00:00,-6.2,-9.6,77,4.0,35,4.8,100.46,-15.0,Snow
2012-01-12 11:00:00,-6.0,-9.5,76,4.0,32,2.0,100.35,-15.0,Snow
